001,Bulbasaur,R,R,R,R,Ev,Ev,Ev,Ev,Ev,R,R,Ev,T,T,T,T,T,R,R,T,Ev,Ev,Ev,Ev,T,R,R,Ev,Ev,B,T,T,C,C,C,C
002,Ivysaur,E,E,E,E,EvE,EvE,EvE,EvE,EvE,E,E,EvE,T,T,T,T,T,E,E,T,EvE,EvE,EvE,EvE,T,E,E,EvE,EvE,C,T,T,E,E,E,E
003,Venusaur,E,E,E,E,Ev,Ev,Ev,EvE,EvE,E,E,EvE,T,T,T,T,T,E,E,T,EvE,EvE,EvE,EvE,T,E,E,Ev,Ev,E,T,T,E,E,E,E
004,Charmander,R,R,R,R,Ev,Ev,Ev,Ev,Ev,R,R,Ev,T,T,Ev,Ev,Ev,R,R,T,Ev,Ev,Ev,Ev,T,R,R,Ev,Ev,B,EvB,EvB,C,C,C,C
005,Charmeleon,E,E,E,E,EvE,EvE,EvE,EvE,EvE,E,E,EvE,T,T,EvE,EvE,EvE,E,E,T,EvE,EvE,EvE,EvE,T,E,E,EvE,EvE,C,EvB,EvB,E,E,E,E
006,Charizard,E,E,E,E,Ev,Ev,Ev,Ev,Ev,E,E,Ev,T,T,EvE,EvE,EvE,E,E,T,EvE,EvE,EvE,EvE,T,E,E,Ev,Ev,E,Ev,Ev,E,E,C,C
007,Squirtle,R,R,R,R,Ev,Ev,Ev,Ev,Ev,R,R,Ev,T,T,T,T,T,R,R,T,Ev,Ev,Ev,Ev,T,R,R,Ev,Ev,B,T,T,C,C,C,C
008,Wartortle,E,E,E,E,EvE,EvE,EvE,EvE,EvE,E,E,EvE,T,T,T,T,T,E,E,T,EvE,EvE,EvE,EvE,T,E,E,EvE,EvE,C,T,T,E,E,E,E
009,Blastoise,E,E,E,E,Ev,Ev,Ev,Ev,Ev,E,E,Ev,T,T,T,T,T,E,E,T,EvE,EvE,EvE,EvE,T,E,E,Ev,Ev,E,T,T,E,E,E,E
010,Caterpie,C,C,C,C,C,C,C,T,T,C,C,T,T,T,D,D,D,C,C,T,T,B,T,B,B,C,C,T,T,B,C,C,C,C,C,C
