Bulbasaur,Grass,001,Bulbasaur,Level 16,002,Ivysaur,Level 32,003,Venusaur,,,,,,,
Charmander,Fire,004,Charmander,Level 16,005,Charmeleon,Level 36,006,Charizard,,,,,,,
Squirtle,Water,007,Squirtle,Level 16,008,Wartortle,Level 36,009,Blastoise,,,,,,,
Caterpie,Bug,010,Caterpie,Level 7,011,Metapod,Level 10,012,Butterfree,,,,,,,
Weedle,Bug,013,Weedle,Level 7,014,Kakuna,Level 10,015,Beedrill,,,,,,,
Pidgey,Normal,016,Pidgey,Level 18,017,Pidgeotto,Level 36,018,Pidgeot,,,,,,,
Rattata,Normal,019,Rattata,Level 20,020,Raticate,,,,,,,,,,
Spearow,Normal,021,Spearow,Level 20,022,Fearow,,,,,,,,,,
Ekans,Poison,023,Ekans,Level 22,024,Arbok,,,,,,,,,,
Pikachu,Electric,172,Pichu,Friendship,025,Pikachu,Thunder Stone,026,Raichu,,,,,,,
Sandshrew,Ground,027,Sandshrew,Level 22,028,Sandslash,,,,,,,,,,
Nidoran,Poison,029,Nidoran,Level 16,030,Nidorina,Moon Stone,031,Nidoqueen,,,,,,,
Nidoran,Poison,032,Nidoran,Level 16,033,Nidorina,Moon Stone,034,NidoKing,,,,,,,
Clefairy,Fairy,173,Cleffa,Friendship,035,Clefairy,Moon Stone,036,Clefable,,,,,,,
Vulpix,Fire,037,Vulpix,Fire Stone,038,Ninetales,,,,,,,,,,
Jigglypuff,Normal,174,Igglybuff,Friendship,039,Jigglypuff,Moon Stone,040,Wigglytuff,,,,,,,
Zubat,Poison,041,Zubat,Level 22,042,Golbat,Friendship,169,Crobat,,,,,,,
Oddish,Grass,043,Oddish,Level 21,044,Gloom,Leaf Stone,045,Vileplume,Sun Stone,182,Bellossom,,,,
Paras,Bug,046,Paras,Level 24,047,Parasect,,,,,,,,,,
Venonat,Bug,048,Venonat,Level 31,049,Venomoth,,,,,,,,,,
Diglett,Ground,050,Diglett,Level 26,051,Dugtrio,,,,,,,,,,
Meowth,Normal,052,Meowth,Level 28,053,Persian,,,,,,,,,,
Psyduck,Water,054,Psyduck,Level 33,055,Golduck,,,,,,,,,,
Mankey,Fighting,056,Mankey,Level 28,057,Primeape,,,,,,,,,,
Growlithe,Fire,058,Growlithe,Fire Stone,059,Arcanine,,,,,,,,,,
Poliwag,Water,060,Poliwag,Level 25,061,Poliwhirl,Water Stone,062,Poliwrath,Trade holding King's Rock,186,Politoed,,,,
Abra,Psychic,063,Abra,Level 16,064,Kadabra,Trade,065,Alakazam,,,,,,,
Machop,Fighting,066,Machop,Level 28,067,Machoke,Trade,068,Machamp,,,,,,,
Bellsprout,Grass,069,Bellsprout,Level 21,070,Weepinbell,Leaf Stone,071,Victreebel,,,,,,,
Tentacool,Water,072,Tentacool,Level 30,073,Tentacruel,,,,,,,,,,
Geodude,Rock,074,Geodude,Level 25,075,Graveler,Trade,076,Golem,,,,,,,
Ponyta,Fire,077,Ponyta,Level 40,078,Rapidash,,,,,,,,,,
Slowpoke,Water,079,Slowpoke,Level 37,080,Slowbro,Trade holding King's Rock,199,Slowking,,,,,,,
Magnemite,Electric,081,Magnemite,Level 30,082,Magneton,Level up in a special magnetic field,462,Magnezone,,,,,,,
Farfetch'd,Normal,083,Farfetch'd,,,,,,,,,,,,,
Doduo,Normal,084,Doduo,Level 31,085,Dodrio,,,,,,,,,,
Seel,Water,086,Seel,Level 34,087,Dewgong,,,,,,,,,,
Grimer,Poison,088,Grimer,Level 38,089,Muk,,,,,,,,,,
Shellder,Water,090,Shellder,Water Stone,091,Cloyster,,,,,,,,,,
Gastly,Ghost,092,Gastly,Level 25,093,Haunter,Trade,094,Gengar,,,,,,,
Onix,Rock,095,Onix,Trade holding Metal Coat,208,Steelix,,,,,,,,,,
Drowzee,Psychic,096,Drowzee,Level 26,097,Hypno,,,,,,,,,,
Krabby,Water,098,Krabby,Level 28,099,Kingler,,,,,,,,,,
Voltorb,Electric,100,Voltorb,Level 30,101,Electrode,,,,,,,,,,
Exeggcute,Grass,102,Exeggcute,Leaf Stone,103,Exeggutor,,,,,,,,,,
Cubone,Ground,104,Cubone,Level 28,105,Marowak,,,,,,,,,,
Lickitung,Normal,108,Lickitung,Level up knowing Rollout,463,Lickilicky,,,,,,,,,,
Koffing,Poison,109,Koffing,Level 35,110,Weezing,,,,,,,,,,
Rhyhorn,Ground,111,Rhyhorn,Level 42,112,Rhydon,Trade holding Protector,464,Rhyperior,,,,,,,
Chansey,Normal,440,Happiny,Level up holding Oval Stone (day),113,Chansey,Friendship,242,Blissey,,,,,,,
Tangela,Grass,114,Tangela,Level up knowing Ancient Power,465,Tangrowth,,,,,,,,,,
Kangaskhan,Normal,115,Kangaskhan,,,,,,,,,,,,,
Horsea,Water,116,Horsea,Level 32,117,Seadra,Trade holding Dragon Scale,230,Kingdra,,,,,,,
Goldeen,Water,118,Goldeen,Level 33,119,Seaking,,,,,,,,,,
Staryu,Water,120,Staryu,Water Stone,121,Starmie,,,,,,,,,,
Mr. Mime,Psychic,439,Mime Jr.,Level up knowing Mimic,122,Mr. Mime,,,,,,,,,,
Scyther,Bug,123,Scyther,Trade holding Metal Coat,212,Scizor,,,,,,,,,,
Jynx,Ice,238,Smoochum,Level 30,124,Jynx,,,,,,,,,,
Electabuzz,Electric,239,Elekid,Level 30,125,Electabuzz,Trade holding Electirizer,466,Electivire,,,,,,,
Magmar,Fire,240,Magby,Level 30,126,Magmar,Trade holding Magmarizer,467,Magmortar,,,,,,,
Pinsir,Bug,127,Pinsir,,,,,,,,,,,,,
Tauros,Normal,128,Tauros,,,,,,,,,,,,,
Magikarp,Water,129,Magikarp,Level 20,130,Gyarados,,,,,,,,,,
Lapras,Water,131,Lapras,,,,,,,,,,,,,
Ditto,Normal,132,Ditto,,,,,,,,,,,,,
Omanyte,Rock,138,Omanyte,Level 40,139,Omastar,,,,,,,,,,
Kabuto,Rock,140,Kabuto,Level 40,141,Kabutops,,,,,,,,,,
Aerodactyl,Rock,142,Aerodactyl,,,,,,,,,,,,,
Snorlax,Normal,446,Munchlax,Friendship,143,Snorlax,,,,,,,,,,
Articuno,Ice,144,Articuno,,,,,,,,,,,,,
Zapdos,Electric,145,Zapdos,,,,,,,,,,,,,
Moltres,Fire,146,Moltres,,,,,,,,,,,,,
Dratini,Dragon,147,Dratini,Level 30,148,Dragonair,Level 55,149,Dragonite,,,,,,,
Mewtwo,Psychic,150,Mewtwo,,,,,,,,,,,,,
Mew,Psychic,151,Mew,,,,,,,,,,,,,
Eevee,normal,133,Eevee,Water Stone,134,Vaporeon,,,,,,,,,,
Eevee,normal,133,Eevee,Thunder Stone,135,Jolteon,,,,,,,,,,
Eevee,normal,133,Eevee,Fire Stone,136,Flareon,,,,,,,,,,
Eevee,normal,133,Eevee,Happiness & Daytime,196,Espeon,,,,,,,,,,
Eevee,normal,133,Eevee,Happiness & Nighttime,197,Umbreon,,,,,,,,,,
Eevee,normal,133,Eevee,Mossy Rock,470,Leafeon,,,,,,,,,,
Eevee,normal,133,Eevee,Icy Rock,471,Glaceon,,,,,,,,,,
Tyrogue, Fighting,236, Tyrogue,Level 20 (Attack > Defense),106,Hitmonlee,,,,,,,,,,
Tyrogue, Fighting,236, Tyrogue,Level 20 (Attack < Defense),107,Hitmonchan,,,,,,,,,,
Tyrogue, Fighting,236, Tyrogue,Level 20 (Attack > Defense),237,Hitmontop,,,,,,,,,,
