387,Turtwig,R,R,R,T,T,T,Ev,Ev,EvB,EvB,T,T,T,R,R,T,T,T,B,B
388,Grotle,E,E,E,T,T,T,EvE,EvE,EvB,EvB,T,T,T,E,E,T,T,T,C,C
389,Torterra,E,E,E,T,T,T,EvE,EvE,Ev,Ev,T,T,T,E,E,T,T,T,E,E
390,Chimchar,R,R,R,Ev,Ev,T,Ev,Ev,EvB,EvB,T,EvB,EvB,R,R,T,T,T,B,B
391,Monferno,E,E,E,EvE,EvE,T,EvE,EvE,EvB,EvB,T,EvB,EvB,E,E,T,T,T,C,C
392,Infernape,E,E,E,EvE,EvE,T,EvE,EvE,Ev,Ev,T,Ev,Ev,E,E,T,T,T,E,E
393,Piplup,R,R,R,T,T,T,Ev,Ev,Ev,Ev,T,Ev,Ev,R,R,T,Ev,Ev,B,B
394,Prinplup,E,E,E,T,T,T,EvE,EvE,EvE,EvE,T,T,T,E,E,T,EvE,EvE,C,C
395,Empoleon,E,E,E,T,T,T,EvE,EvE,Ev,Ev,T,T,T,E,E,T,EvE,EvE,E,E
396,Starly,C,C,C,C,C,T,T,C,T,T,B,C,C,T,T,T,B,B,T,T
397,Staravia,C,C,C,E,E,T,T,E,T,T,C,C,C,T,T,T,C,C,T,T
398,Staraptor,E,E,E,E,E,T,T,E,T,T,E,E,E,T,T,T,E,E,T,T
399,Bidoof,C,C,C,C,C,C,B,B,B,B,C,C,C,T,T,B,T,T,T,T
400,Bibarel,C,C,C,E,E,C,C,C,C,C,E,C,C,T,T,C,T,T,T,T
401,Kricketot,C,C,C,C,C,C,B,B,T,T,C,T,T,B,B,T,T,T,T,T
402,Kricketune,C,C,C,C,C,E,C,C,T,T,E,T,T,C,C,T,T,T,T,T
403,Shinx,C,C,C,C,C,C,T,C,T,T,C,T,T,B,B,B,B,B,T,T
404,Luxio,C,C,C,C,C,E,T,E,T,T,E,T,T,C,C,C,C,C,T,T
405,Luxray,E,E,E,E,E,E,T,E,T,T,E,T,T,E,E,E,E,E,T,T
406,Budew,C,C,C,C,C,C,T,C,B,B,B,C,C,B,B,T,B,B,T,T
