494,Victini,EV,EV,Ev,Ev,T,Ev,Ev,Ev,Ev,T,Ev,Ev,T,T
495,Snivy,R,R,R,R,T,T,T,R,R,T,B,B,T,T
496,Servine,E,E,E,E,T,T,T,E,E,T,B,B,T,T
497,Serperior,E,E,E,E,T,T,T,E,E,T,C,C,T,T
498,Tepig,R,R,R,R,T,T,T,R,R,T,B,B,T,T
499,Pignite,E,E,E,E,T,T,T,E,E,T,B,B,T,T
500,Emboar,E,E,E,E,T,T,T,E,E,T,C,C,T,T
501,Oshawott,R,R,R,R,T,T,T,R,R,T,B,B,T,T
502,Dewott,E,E,E,E,T,T,T,E,E,T,B,B,T,T
503,Samurott,E,E,E,E,T,T,T,E,E,T,C,C,T,T
504,Patrat,C,C,C,C,T,B,B,T,T,T,T,T,T,T
505,Watchog,C,C,C,C,T,C,C,T,T,T,T,T,T,T
506,Lillipup,C,C,C,C,T,T,T,C,C,C,C,C,C,C
507,Herdier,C,C,C,C,T,T,T,E,E,E,E,E,E,E
508,Stoutland,C,C,C,C,T,T,T,E,E,E,E,E,E,E
509,Purrloin,C,C,C,C,T,T,B,T,T,B,T,T,T,T
510,Liepard,C,C,C,C,T,T,C,T,T,C,T,T,T,T
511,Pansage,C,C,C,C,T,C,C,T,T,C,T,T,T,T
512,Simisage,E,E,E,E,T,E,E,T,T,E,T,T,T,T
513,Pansear,C,C,C,C,T,C,C,EvB,EvB,C,T,T,T,T
514,Simisear,E,E,E,E,T,E,E,Ev,Ev,E,T,T,T,T
515,Panpour,C,C,C,C,T,C,C,T,T,C,T,T,T,T
516,Simipour,E,E,E,E,T,E,E,T,T,E,T,T,T,T
517,Munna,C,C,C,C,T,T,T,C,C,C,T,T,T,T
518,Musharna,C,C,C,C,T,T,T,E,E,E,T,T,T,T
519,Pidove,C,C,C,C,C,T,T,C,C,B,T,T,T,T
520,Tranquill,C,C,C,C,E,T,T,E,E,C,T,T,T,T
521,Unfezant,C,C,C,C,E,T,T,E,E,E,T,T,T,T
522,Blitzle,C,C,B,B,T,T,T,B,B,B,T,T,T,T
523,Zebstrika,C,C,C,C,T,T,T,C,C,C,T,T,T,T
524,Roggenrola,C,C,C,C,B,C,C,C,C,B,C,C,C,C
525,Boldore,C,C,C,C,C,C,C,C,C,C,C,C,C,C
526,Gigalith,E,E,R,R,E,E,E,E,E,E,E,E,E,E
527,Woobat,C,C,C,C,T,C,C,T,T,C,T,T,T,T
528,Swoobat,E,E,E,E,T,E,E,T,T,E,T,T,T,T
529,Drilbur,C,C,C,C,C,T,T,B,B,B,T,T,T,T
530,Excadrill,C,C,C,C,E,T,T,C,C,C,T,T,T,T
531,Audino,C,C,C,C,C,C,C,C,C,C,T,T,C,C
532,Timburr,C,C,C,C,B,B,B,C,C,T,B,B,T,T
533,Gurdurr,C,C,C,C,C,C,C,E,E,T,B,B,T,T
534,Conkeldurr,E,E,E,E,E,E,E,E,E,T,C,C,T,T
535,Tympole,C,C,C,C,C,T,T,C,C,B,T,T,T,T
